Record ID,University,Institution Type,Russell Group,UK Nation,Category,Document Title,Document Type,Intended_Audience,URL,File Format,Retrieval Date,Status,Source_Type,Last_Updated,Notes,AI_Characterisation,Aim_Prevention,Aim_Encouragement,Uses_Allowed,Uses_Disallowed,Technologies_Mentioned,Coding_Mentioned,Overall_Tone,Key_Takeaways,Missing_Topics,Unclear_Areas,Suggested_Additions,Suggested_Reductions,Coding_Recommendations
RG001,University of Birmingham,University,Yes,England,Teaching,"Generative Artificial Intelligence and its role within teaching, learning, assessment, and support",Guidance,Staff/Students,https://www.birmingham.ac.uk/libraries/education-excellence/gai,HTML,2026-06-29,Available,Official,Jan-25,,Tool,Academic Integrity; Plagiarism,AI Literacy; Responsible Use of AI,Learning support,AI-generated assessment content (unless explicitly permitted),ChatGPT; Gemini; Microsoft Copilot; GPT-4; DALL-E 3,FALSE,Balanced,"Frames generative AI as a learning support tool while balancing innovation with academic integrity, ethical use and institutional responsibility.",Limited discussion of AI-assisted programming and coding practices.,The level of acceptable AI assistance across different assessment types could be explained in greater detail.,Include discipline-specific examples of acceptable and unacceptable AI use.,/,"Introduce explicit guidance on AI-assisted coding, code attribution and acceptable use of programming tools in assessed coursework."
RG002,University of Birmingham,University,Yes,England,Research,Guidance for use of AI in research,Guidance,Researchers,https://www.birmingham.ac.uk/Documents/research/ethics-integrity/guidance-for-use-of-ai-in-research.docx,DOCX,2026-06-29,Available,Official,,,Tool,Research Integrity; Intellectual Property; Privacy,Responsible Use of AI; Transparency,Research support,None explicitly stated,Generative AI,FALSE,Cautious,"Positions AI as a valuable research support tool while placing strong emphasis on research integrity, legal compliance and researcher responsibility.","Limited discussion of AI-assisted programming, computational research workflows and reproducible code generation.",Expectations regarding disclosure of AI-generated research outputs could be more explicit.,Provide practical examples of acceptable AI use across different stages of the research process.,/,"Add explicit guidance on AI-assisted coding, computational notebooks, code generation and documentation of AI-supported research workflows."
RG003,University of Bristol,University,Yes,England,Teaching,Guidance on AI,Guidance,Staff/Students,https://www.bristol.ac.uk/bilt/sharing-practice/guides/guidance-on-ai/,HTML,2026-06-29,Available,Official,,,Tool,Academic Integrity; Bias; Privacy,AI Literacy; Responsible Use of AI; Critical Thinking,Learning support; Summarising; Structuring ideas,Replacing learning activities,ChatGPT; Google Gemini; Microsoft Copilot; LLMs,FALSE,Balanced,Positions generative AI as a valuable educational tool while emphasising that it should enhance rather than replace meaningful learning and critical thinking.,"Limited discussion of AI-assisted programming, computational learning and discipline-specific examples beyond general educational practice.","The guidance establishes broad institutional principles but leaves decisions about acceptable AI use to programmes and individual educators, which may result in inconsistent implementation.",Include more subject-specific case studies and practical examples illustrating how the principles can be applied across different disciplines.,/,"Expand the guidance to include AI-assisted coding, computational assignments and expectations for acknowledging AI-generated code where relevant."
RG004,University of Bristol,University,Yes,England,Teaching,Using artificial intelligence (AI) in assessments and for your studies,Guidance,Students,https://www.bristol.ac.uk/students/support/academic-advice/using-artificial-intelligence/,HTML,2026-06-29,Available,Official,,,Tool,Academic Integrity,AI Literacy; Responsible Use of AI,Grammar checking; Basic language support,Using AI beyond permitted assessment requirements,AI tools; Translation tools,FALSE,Cautious,"Frames AI as a legitimate study support tool, but emphasises that its use must always be governed by assessment-specific guidance and academic integrity requirements.","Limited discussion of AI use beyond written coursework, such as programming, data analysis or collaborative project work.",The guidance states that acceptable AI use varies between assessments but provides limited examples illustrating how these differences are applied in practice.,Include discipline-specific examples showing different levels of permitted AI use across assessment types and academic subjects.,/,"Expand the guidance to include AI-assisted coding, computational assignments and expectations for acknowledging AI-generated code where relevant."
RG005,University of Bristol,University,Yes,England,Research,Guidance for PGR students on the use of AI tools in thesis writing,Guidance,Students,https://www.bristol.ac.uk/academic-quality/pg/ai-tools-and-thesis-writing/,HTML,2026-06-29,Available,Official,,,Tool,Research Integrity,Responsible Use of AI; Transparency,Translation; Proofreading; Technical code writing,Replacing examined research skills,Generative AI,"TRUE, Guidance Provided",Balanced,"Provides one of the most detailed institutional frameworks for AI use in postgraduate research, distinguishing clearly between acceptable research support and unacceptable substitution of core research skills.","Limited discussion of AI use for research data analysis, reproducible computational workflows and collaborative coding environments.",Expectations for documenting AI assistance in the final thesis could be further standardised across Schools and disciplines.,"Include practical examples covering AI-assisted qualitative analysis, statistical programming and computational notebooks alongside thesis writing.",/,"This guidance already provides one of the clearest discussions of AI-assisted coding. Future versions could expand the guidance to cover version control, code documentation and reproducible computational research."
RG006,University of Cambridge,University,Yes,England,Generic,AI: Study Skills,Guidance,All,https://libguides.cam.ac.uk/AI,HTML,2026-06-29,Available,Official,　,　,Tool; Opportunity; Risk; Challenge,Academic Integrity; Incorrect Information; Privacy Risk; Copyright Risk; Poor Source Evaluation; Over-reliance on AI,AI Literacy; Learning Enhancement; Research Support; Critical Thinking; Responsible AI Use,Brainstorming; Idea Generation; Concept Explanation; Research Support; Writing Support; Learning Support; Literature Support,Submitting AI-generated Work; Unacknowledged AI Use; Replacing Critical Thinking; Uploading Sensitive Information; Uploading Copyright Material,Generative AI; Large Language Models (LLMs); ChatGPT; Google Gemini; Microsoft Copilot; NotebookLM; ResearchRabbit; Elicit; Connected Papers,"True, Mentioned",Balanced,"This document represents a student-facing AI literacy approach. Cambridge does not frame AI purely as a compliance issue; instead, it combines capability building with academic integrity, privacy awareness and critical evaluation.","Limited guidance on discipline-specific AI use, assessment scenarios and programming assignments.",Boundaries between acceptable drafting assistance and unacceptable content generation remain dependent on assessment context.,"Add more examples for STEM students, coding assignments and research workflows.",/,"Student AI guidance should include clearer examples for AI-assisted coding, especially for programming assignments and computational research. Where code-generation tools are used, students should verify outputs, understand generated code, and disclose AI involvement where required."
RG007,University of Cambridge,University,Yes,England,Process,AI guidance - Information Compliance,Guidance,Staff,https://www.information-compliance.admin.cam.ac.uk/data-protection/guidance/ai-guidance,HTML,2026-06-29,Available,Official,,,Tool,Privacy; Security,Responsible Use of AI; Transparency,Administrative support,Inputting confidential or personal information into public AI systems,Generative AI,FALSE,Cautious,"Frames generative AI as a useful administrative tool while placing strong emphasis on data protection, confidentiality and staff accountability.","Limited discussion of educational, research or programming-related uses of AI, reflecting the document’s administrative focus.",The guidance outlines key principles but provides relatively few concrete examples illustrating how staff should manage more complex administrative scenarios involving AI.,"Include practical case studies covering common administrative workflows, such as drafting reports, handling sensitive documents and reviewing AI-generated content.",/,"Consider including guidance on the secure use of AI-assisted scripting, automation tools and administrative coding where these involve institutional data."
RG008,Cardiff University,University,Yes,Wales,Teaching,AI in Education at Cardiff University,Guidance,Staff,https://blogs.cardiff.ac.uk/LTAcademy/ai-in-education-at-cardiff-university/,HTML,2026-06-29,Access restricted,Official,,"Blog says updated staff guidance is available on the intranet, but I don't have access rights.",/,/,/,/,/,/,/,/,/,/,/,/,/,/
RG009,Cardiff University,University,Yes,Wales,Research,Using Gen AI to support your literature searching,Guidance,Students/Researchers,https://sites.cardiff.ac.uk/ilrb/using-gen-ai-to-support-your-literature-searching/,HTML,2026-06-29,Access restricted,Official,2024-11-28,Includes the public landing page and linked Xerte learning resource. The separate student AI guidance was excluded because it requires institutional login and was inaccessible.,Tool,/,AI Literacy; Responsible Use of AI,Literature searching; Topic identification; Research question development,/,Microsoft Copilot; Generative AI,FALSE,Balanced,"Positions generative AI as a valuable aid for literature searching and early-stage research planning, while encouraging students to use it alongside institutional guidance and published academic sources.","The guidance does not discuss AI use beyond literature searching, such as evidence synthesis, reference management, academic writing or AI-assisted coding.",The resource explains how AI can support topic exploration but provides limited guidance on verifying AI-generated suggestions or integrating them into a systematic literature search strategy.,"Include practical examples demonstrating how AI-assisted literature searching can be combined with database searching, critical source evaluation and citation management.",/,"Include explicit guidance on AI-assisted coding-related searches, such as locating technical documentation and software resources, while emphasising verification against authoritative sources."
RG010,Durham University,University,Yes,England,Teaching,"Generative AI in Learning, Teaching & Assessment",Resource Hub,Staff/Students,https://dcad-resourcebank.webspace.durham.ac.uk/2024/07/16/generative-ai-in-learning-teaching-assessment/,HTML,2026-06-29,Available,Official,2026-07-07,　,Tool,Academic Integrity; Research Integrity,AI Literacy; Responsible Use of AI,Learning support; Teaching support; Research support,/,Generative AI,FALSE,Positive,"Presents generative AI as a strategic opportunity for education, research and graduate employability, while encouraging responsible and context-appropriate use across the University.",The page provides relatively little operational guidance on acceptable AI use in specific assessment types or disciplinary contexts.,"Although the document links to further resources, it is not always clear which guidance applies to students, staff or researchers in particular situations.","Include more concrete examples illustrating acceptable AI use in assessments, research activities and discipline-specific teaching contexts.",/,"Add explicit guidance on AI-assisted coding, including the acceptable use of code generation tools, debugging assistants and programming support in both teaching and assessment contexts."
